Time ,Strain,Stress
0,40.8,75
100,40.822,75
200,40.83,75
300,40.844,75
723,40.852,75
1000,40.865,75
1140,40.873,75
1301,40.884,75
1800,40.926,75
3051,40.988,75
4606,40.998,75
5752,41.005,75
7251,41.063,75
8138,41.064,75
8426,41.17,75
9043,41.175,75
9887,41.177,75
10128,41.18,75
10404,41.188,75
10573,41.2,75
10819,41.21,75
11124,41.368,75
11409,41.334,75
11488,41.274,75
11539,41.314,75
11629,41.265,75
11679,41.378,75
11679,41.394,75
11862,41.382,75
12102,41.41,75
12157,41.388,75
12252,41.382,75
12332,41.362,75
12493,41.418,75
12658,41.376,75
12685,41.366,75
13134,41.354,75
13759,41.357,75
14257,41.45,75
14874,41.459,75
15666,41.49,75
15963,41.511,75
16611,41.555,75
17307,41.566,75
18245,41.556,75
18365,41.614,75
18509,41.533,75
18537,41.473,75
19103,41.658,75
20547,41.666,75
21388,41.687,75
21699,41.781,75
22157,41.813,75
22349,41.816,75
22407,41.856,75
23075,41.944,75
24295,42.212,75
24457,42.267,75
24573,42.262,75
24855,42.343,75
25162,42.479,75
25642,42.737,75
25949,42.949,75
26447,44.107,75
26475,45.4,75
0,40.8,75
100,40.83,75
200,40.836,75
300,40.857,75
723,40.902,75
1000,40.929,75
1140,40.936,75
1301,40.941,75
1800,40.97,75
3051,41.008,75
4606,41.054,75
5752,41.058,75
7251,41.076,75
8138,41.096,75
8426,41.102,75
9043,41.142,75
9887,41.146,75
10128,41.168,75
10404,41.162,75
10573,41.17,75
10819,41.196,75
11124,41.274,75
11409,41.2859993,75
11488,41.28400421,75
11539,41.24399948,75
11629,41.23800278,75
11679,41.31199646,75
11679,41.30999756,75
11862,41.36800385,75
12102,41.37799835,75
12157,41.34600067,75
12252,41.38199997,75
12332,41.35399628,75
12493,41.36199951,75
12658,41.34200287,75
12685,41.338,75
13134,41.30199814,75
13759,41.34500122,75
14257,41.35900116,75
14874,41.37599945,75
15666,41.39099884,75
15963,41.44799805,75
16611,41.44799805,75
17307,41.39400101,75
18245,42.55500031,75
18365,42.75099945,75
18509,43.34999847,75
18537,45.27700043,75
0,40.8,75
100,40.848,75
200,40.876,75
300,40.886,75
723,40.897,75
1000,40.906,75
1140,40.912,75
1301,40.92,75
1800,40.925,75
3051,40.929,75
4606,41.018,75
5752,41.05,75
7251,41.094,75
8138,41.144,75
8426,41.152,75
9043,41.212,75
9887,41.214,75
10128,41.22,75
10404,41.232,75
10573,41.224,75
10819,41.235,75
11124,41.24,75
11409,41.3219986,75
11488,41.27799988,75
11539,41.26000214,75
11629,41.20000458,75
11679,41.27799606,75
11679,41.28799438,75
11862,41.23199463,75
12102,41.31200409,75
12157,41.39800262,75
12252,41.35800171,75
12332,41.37400055,75
12493,41.44200134,75
12658,41.4260025,75
12685,41.356,75
13134,41.47999954,75
13759,41.59400177,75
14257,41.97499847,75
14874,42.19400024,75
15666,42.78800201,75
15963,44.83699799,75
