Time ,Strain,Stress
0,35.35,100
50,35.44,100
100,35.442,100
200,35.445,100
300,35.45,100
555,35.504,100
700,35.508,100
900,35.528,100
1007,35.538,100
1274,35.579,100
1609,35.582,100
2016,35.586,100
2498,35.716,100
3002,35.717,100
3574,35.732,100
4031,35.82,100
4739,35.869,100
5026,35.915,100
5643,35.98,100
6131,36.04,100
6372,36.088,100
6648,36.168,100
6817,36.226,100
7063,36.23,100
7368,36.41,100
7653,36.582,100
7732,36.624,100
7783,36.558,100
7873,36.686,100
7923,36.732,100
7923,36.892,100
8106,36.988,100
8346,37.054,100
8401,37.314,100
8496,37.37,100
8576,37.5,100
8737,37.956,100
8902,38.814,100
8929,39.354,100
0,38.35,85
77,38.412,85
193,38.42,85
307,38.438,85
442,38.49,85
511,38.466,85
578,38.496,85
604,38.466,85
892,38.506,85
1204,38.57,85
1512,38.626,85
2204,38.64,85
2874,38.692,85
3499,38.712,85
4339,38.83,85
4964,38.833,85
5462,38.878,85
6079,38.909,85
6869,39.073,85
7176,39.12,85
7337,39.12,85
7818,39.218,85
8133,39.31,85
8491,39.41,85
8605,39.528,85
8720,39.509,85
8867,39.621,85
9347,39.86,85
9419,39.911,85
9605,39.984,85
9652,40.054,85
10387,40.954,85
10502,41.321,85
10525,41.401,85
10638,42.431,85
10681,45.487,85
0,40.8,75
100,40.822,75
200,40.83,75
300,40.844,75
723,40.852,75
1000,40.865,75
1140,40.873,75
1301,40.884,75
1800,40.926,75
3051,40.988,75
4606,40.998,75
5752,41.005,75
7251,41.063,75
8138,41.064,75
8426,41.17,75
9043,41.175,75
9887,41.177,75
10128,41.18,75
10404,41.188,75
10573,41.2,75
10819,41.21,75
11124,41.368,75
11409,41.334,75
11488,41.274,75
11539,41.314,75
11629,41.265,75
11679,41.378,75
11679,41.394,75
11862,41.382,75
12102,41.41,75
12157,41.388,75
12252,41.382,75
12332,41.362,75
12493,41.418,75
12658,41.376,75
12685,41.366,75
13134,41.354,75
13759,41.357,75
14257,41.45,75
14874,41.459,75
15666,41.49,75
15963,41.511,75
16611,41.555,75
17307,41.566,75
18245,41.556,75
18365,41.614,75
18509,41.533,75
18537,41.473,75
19103,41.658,75
20547,41.666,75
21388,41.687,75
21699,41.781,75
22157,41.813,75
22349,41.816,75
22407,41.856,75
23075,41.944,75
24295,42.212,75
24457,42.267,75
24573,42.262,75
24855,42.343,75
25162,42.479,75
25642,42.737,75
25949,42.949,75
26447,44.107,75
26475,45.4,75
0,35.35,100
50,35.367,100
100,35.4,100
200,35.456,100
300,35.462,100
555,35.465,100
700,35.494,100
900,35.528,100
1007,35.546,100
1274,35.594,100
1609,35.611,100
2016,35.65,100
2498,35.652,100
3002,35.669,100
3574,35.708,100
4031,35.777,100
4739,35.847,100
5026,35.849,100
5643,35.872,100
6131,35.978,100
6372,35.98,100
6648,36.09,100
6817,36.148,100
7063,36.152,100
7368,36.402,100
7653,36.52799988,100
7732,36.5019989,100
7783,36.50199509,100
7873,36.52999878,100
7923,36.65399933,100
7923,36.68199921,100
8106,36.75799561,100
8346,36.9940033,100
8401,36.91800308,100
8496,37.02400208,100
8576,37.13199615,100
8737,37.38000107,100
8902,37.86199951,100
8929,38.846,100
0,35.35,100
50,35.384,100
100,35.403,100
200,35.434,100
300,35.436,100
555,35.517,100
700,35.521,100
900,35.529,100
1007,35.533,100
1274,35.614,100
1609,35.618,100
2016,35.649,100
2498,35.725,100
3002,35.753,100
3574,35.799,100
4031,35.905,100
4739,36.003,100
5026,36.074,100
5643,36.159,100
6131,36.31,100
6372,36.386,100
6648,36.594,100
6817,36.836,100
7063,37.9,100
0,38.35,85
77,38.375,85
193,38.444,85
307,38.446,85
442,38.436,85
511,38.4679985,85
578,38.546,85
604,38.456,85
892,38.52,85
1204,38.522,85
1512,38.61199951,85
2204,38.59000015,85
2874,38.67399597,85
3499,38.64799881,85
4339,38.76800156,85
4964,38.77099991,85
5462,38.84700012,85
6079,38.91199875,85
6869,38.98099899,85
7176,39.05199814,85
7337,39.13600159,85
7818,39.23600006,85
8133,39.27600098,85
8491,39.35499954,85
8605,39.51900101,85
8720,39.54999924,85
8867,39.57300186,85
9347,39.84000015,85
9419,39.89500046,85
9605,39.97100067,85
9652,39.97100067,85
10387,40.76300049,85
10502,40.97399902,85
10525,41.00899887,85
10638,41.36600113,85
10681,41.42700195,85
10746,41.86100006,85
10796,42.40200043,85
10865,43.05400085,85
10905,44.65800095,85
0,38.35,85
77,38.372,85
193,38.387,85
307,38.432,85
442,38.448,85
511,38.52399826,85
578,38.47,85
604,38.45,85
892,38.502,85
1204,38.588,85
1512,38.64799881,85
2204,38.60800171,85
2874,38.66399765,85
3499,38.73600006,85
4339,38.75600052,85
4964,38.76800156,85
5462,38.88199997,85
6079,38.88499832,85
6869,38.90800095,85
7176,38.99300003,85
7337,38.99300003,85
7818,39.08399963,85
8133,39.10800171,85
8491,39.13499832,85
8605,39.21900177,85
8720,39.25899887,85
8867,39.29299927,85
9347,39.34000015,85
9419,39.33000183,85
9605,39.35499954,85
9652,39.40599823,85
10387,39.53099823,85
10502,39.56399918,85
10525,39.55400085,85
10638,39.57899857,85
10681,39.57300186,85
10746,39.60599899,85
10796,39.59799957,85
10865,39.65100098,85
10905,39.6590004,85
11165,39.86800003,85
11327,40.05899811,85
11512,40.28099823,85
11705,40.66799927,85
11796,40.94300079,85
11935,41.64599991,85
11982,42.06800079,85
12098,43.32699966,85
12165,45.38899994,85
0,40.8,75
100,40.83,75
200,40.836,75
300,40.857,75
723,40.902,75
1000,40.929,75
1140,40.936,75
1301,40.941,75
1800,40.97,75
3051,41.008,75
4606,41.054,75
5752,41.058,75
7251,41.076,75
8138,41.096,75
8426,41.102,75
9043,41.142,75
9887,41.146,75
10128,41.168,75
10404,41.162,75
10573,41.17,75
10819,41.196,75
11124,41.274,75
11409,41.2859993,75
11488,41.28400421,75
11539,41.24399948,75
11629,41.23800278,75
11679,41.31199646,75
11679,41.30999756,75
11862,41.36800385,75
12102,41.37799835,75
12157,41.34600067,75
12252,41.38199997,75
12332,41.35399628,75
12493,41.36199951,75
12658,41.34200287,75
12685,41.338,75
13134,41.30199814,75
13759,41.34500122,75
14257,41.35900116,75
14874,41.37599945,75
15666,41.39099884,75
15963,41.44799805,75
16611,41.44799805,75
17307,41.39400101,75
18245,42.55500031,75
18365,42.75099945,75
18509,43.34999847,75
18537,45.27700043,75
0,40.8,75
100,40.848,75
200,40.876,75
300,40.886,75
723,40.897,75
1000,40.906,75
1140,40.912,75
1301,40.92,75
1800,40.925,75
3051,40.929,75
4606,41.018,75
5752,41.05,75
7251,41.094,75
8138,41.144,75
8426,41.152,75
9043,41.212,75
9887,41.214,75
10128,41.22,75
10404,41.232,75
10573,41.224,75
10819,41.235,75
11124,41.24,75
11409,41.3219986,75
11488,41.27799988,75
11539,41.26000214,75
11629,41.20000458,75
11679,41.27799606,75
11679,41.28799438,75
11862,41.23199463,75
12102,41.31200409,75
12157,41.39800262,75
12252,41.35800171,75
12332,41.37400055,75
12493,41.44200134,75
12658,41.4260025,75
12685,41.356,75
13134,41.47999954,75
13759,41.59400177,75
14257,41.97499847,75
14874,42.19400024,75
15666,42.78800201,75
15963,44.83699799,75
